gCSI.CellLineName	gCSI.PrimaryTissue	gCSI.Norm_CellLineName	sampleid
MC116	Lymph Node	MC116	MC116
SK-BR-3	Breast	SKBR3	SK-BR-3
SU-DHL-1	Lymph Node	SUDHL1	SU-DHL-1
HT	Lymph Node	HT	HT
SU-DHL-6	Lymph Node	SUDHL6	SU-DHL-6
SCC-3	Blood	SCC3	SCC-3
SU-DHL-16	Lymph Node	SUDHL16	SU-DHL-16
SU-DHL-5	Lymph Node	SUDHL5	SU-DHL-5
SU-DHL-8	Lymph Node	SUDHL8	SU-DHL-8
U-698-M	Lymph Node	U698M	U-698-M
MHH-PREB-1	Lymph Node	MHHPREB1	MHH-PREB-1
OCI-LY-19	Lymph Node	OCILY19	OCI-LY-19
REC-1	Lymph Node	REC1	REC-1
SR	Lymph Node	SR	SR
RI-1	Lymph Node	RI1	RI-1
RL	Lymph Node	RL	RL
EB1	Lymph Node	EB1	EB1
Daudi	Blood	DAUDI	Daudi
DB	Lymph Node	DB	DB
DOHH-2	Lymph Node	DOHH2	DOHH-2
JeKo-1	Lymph Node	JEKO1	JeKo-1
WSU-DLCL2	Lymph Node	WSUDLCL2	WSU-DLCL2
SU-DHL-4	Lymph Node	SUDHL4	SU-DHL-4
Toledo	Lymph Node	TOLEDO	Toledo
KARPAS-422	Blood	KARPAS422	KARPAS-422
U-937	Blood	U937	U-937
NAMALWA	Blood	NAMALWA	NAMALWA
CA46	Blood	CA46	CA46
EB-3	Blood	EB3	EB-3
GA-10	Blood	GA10	GA-10
RAJI	Blood	RAJI	RAJI
RC-K8	Blood	RCK8	RC-K8
OCI-LY-3	Lymph Node	OCILY3	OCI-LY-3
HH	Blood	HH	HH
KARPAS-299	Blood	KARPAS299	KARPAS-299
Pfeiffer	Blood	PFEIFFER	Pfeiffer
JVM-2	Blood	JVM2	JVM-2
NCI-H292	Lung	NCIH292	NCI-H292
NCI-H650	Lung	NCIH650	NCI-H650
NCI-H647	Lung	NCIH647	NCI-H647
NCI-H1437	Lung	NCIH1437	NCI-H1437
RERF-LC-KJ	Lung	RERFLCKJ	RERF-LC-KJ
NCI-H460	Lung	NCIH460	NCI-H460
NCI-H1299	Lung	NCIH1299	NCI-H1299
NCI-H226	Lung	NCIH226	NCI-H226
MCF-7	Breast	MCF7	MCF-7
SW 1573	Lung	SW1573	SW 1573
HCC1937	Breast	HCC1937	HCC1937
Hs 578T	Breast	HS578T	Hs 578T
HCC-15	Lung	HCC15	HCC-15
CAL51	Breast	CAL51	CAL51
NCI-H2122	Lung	NCIH2122	NCI-H2122
MDA-MB-157	Breast	MDAMB157	MDA-MB-157
MDA-MB-468	Breast	MDAMB468	MDA-MB-468
HCC1954	Breast	HCC1954	HCC1954
JIMT-1	Breast	JIMT1	JIMT-1
CAL-120	Breast	CAL120	CAL-120
EVSA-T	Breast	EVSAT	EVSA-T
T-47D	Breast	T47D	T-47D
SK-MEL-28	Skin	SKMEL28	SK-MEL-28
RPMI-7951	Skin	RPMI7951	RPMI-7951
G-361	Skin	G361	G-361
Hs 294T	Skin	HS294T	Hs 294T
SW 982	Breast	SW982	SW 982
MDA-MB-175-VII	Breast	MDAMB175VII	MDA-MB-175-VII
CAMA-1	Breast	CAMA1	CAMA-1
HCC1806	Breast	HCC1806	HCC1806
BT-549	Breast	BT549	BT-549
NCI-H661	Lung	NCIH661	NCI-H661
RERF-LC-MS	Lung	RERFLCMS	RERF-LC-MS
HOP-62	Lung	HOP62	HOP-62
HCC38	Breast	HCC38	HCC38
HCC1419	Breast	HCC1419	HCC1419
KPL-1	Breast	KPL1	KPL-1
MDA-MB-436	Breast	MDAMB436	MDA-MB-436
BT-20	Breast	BT20	BT-20
NCI-H2009	Lung	NCIH2009	NCI-H2009
NCI-H1793	Lung	NCIH1793	NCI-H1793
KNS-62	Lung	KNS62	KNS-62
HCT-15	Colon	HCT15	HCT-15
SF268	Brain	SF268	SF268
SF539	Brain	SF539	SF539
LN-18	Brain	LN18	LN-18
LN-229	Brain	LN229	LN-229
Hs 683	Brain	HS683	Hs 683
HOP-92	Lung	HOP92	HOP-92
SK-CO-1	Colon	SKCO1	SK-CO-1
MDA-MB-231	Breast	MDAMB231	MDA-MB-231
SW 1990	Pancreas	SW1990	SW 1990
HCT 116	Colon	HCT116	HCT 116
HUP-T3	Pancreas	HUPT3	HUP-T3
DU 145	Prostate	DU145	DU 145
KP4	Pancreas	KP4	KP4
CFPAC-1	Pancreas	CFPAC1	CFPAC-1
A-375	Skin	A375	A-375
IPC-298	Skin	IPC298	IPC-298
HT-1080	Bone	HT1080	HT-1080
HCC1143	Breast	HCC1143	HCC1143
Detroit 562	Nasal Pharynx	DETROIT562	Detroit 562
NCI-H1355	Lung	NCIH1355	NCI-H1355
HCC2935	Lung	HCC2935	HCC2935
769-P	Kidney	769P	769-P
COLO 800	Skin	COLO800	COLO 800
SK-MEL-1	Skin	SKMEL1	SK-MEL-1
UACC-62	Skin	UACC62	UACC-62
UM-UC-3	Urinary Bladder	UMUC3	UM-UC-3
OPM-2	Blood	OPM2	OPM-2
A2058	Skin	A2058	A2058
ChaGo-K-1	Lung	CHAGOK1	ChaGo-K-1
Panc 04.03	Pancreas	PANC04.03	Panc 04.03
Panc 02.03	Pancreas	PANC02.03	Panc 02.03
COLO 678	Colon	COLO678	COLO 678
KG-1	Blood	KG1	KG-1
OCI-AML2	Blood	OCIAML2	OCI-AML2
COLO 679	Skin	COLO679	COLO 679
U-87 MG	Brain	U87MG	U-87 MG
MEL-HO	Skin	MELHO	MEL-HO
DV-90	Lung	DV90	DV-90
PA-TU-8902	Pancreas	PATU8902	PA-TU-8902
HCC44	Lung	HCC44	HCC44
HCC78	Lung	HCC78	HCC78
LCLC-103H	Lung	LCLC103H	LCLC-103H
CAL-12T	Lung	CAL12T	CAL-12T
HCC2279	Lung	HCC2279	HCC2279
NCI-H2347	Lung	NCIH2347	NCI-H2347
WM-266-4	Skin	WM2664	WM-266-4
LP-1	Blood	LP1	LP-1
KP-3	Pancreas	KP3	KP-3
PK-59	Pancreas	PK59	PK-59
PK-1	Pancreas	PK1	PK-1
IGR-1	Skin	IGR1	IGR-1
SUIT-2	Pancreas	SUIT2	SUIT-2
KYSE-70	Esophagus	KYSE70	KYSE-70
NCI-H2452	Lung	NCIH2452	NCI-H2452
MES-SA	Uterus	MESSA	MES-SA
HuCCT1	Liver	HUCCT1	HuCCT1
EFE-184	Uterus	EFE184	EFE-184
SNG-M	Uterus	SNGM	SNG-M
CHL-1	Lung	CHL1	CHL-1
Calu-6	Lung	CALU6	Calu-6
A549	Lung	A549	A549
NCI-H1975	Lung	NCIH1975	NCI-H1975
LXF-289	Lung	LXF289	LXF-289
NCI-H23	Lung	NCIH23	NCI-H23
NCI-H2030	Lung	NCIH2030	NCI-H2030
NCI-H2023	Lung	NCIH2023	NCI-H2023
NCI-H1650	Lung	NCIH1650	NCI-H1650
NCI-H1944	Lung	NCIH1944	NCI-H1944
NCI-H441	Lung	NCIH441	NCI-H441
Calu-1	Lung	CALU1	Calu-1
HCC95	Lung	HCC95	HCC95
NCI-H358	Lung	NCIH358	NCI-H358
EKVX	Lung	EKVX	EKVX
ABC-1	Lung	ABC1	ABC-1
NCI-H2405	Lung	NCIH2405	NCI-H2405
NCI-H1651	Lung	NCIH1651	NCI-H1651
NCI-H1339	Lung	NCIH1339	NCI-H1339
DMS 273	Lung	DMS273	DMS 273
HCC827	Lung	HCC827	HCC827
Calu-3	Lung	CALU3	Calu-3
A-427	Lung	A427	A-427
NCI-H1048	Lung	NCIH1048	NCI-H1048
NCI-H1703	Lung	NCIH1703	NCI-H1703
BEN	Lung	BEN	BEN
NCI-H1792	Lung	NCIH1792	NCI-H1792
HCC4006	Lung	HCC4006	HCC4006
HCC1171	Lung	HCC1171	HCC1171
LCLC-97TM1	Lung	LCLC97TM1	LCLC-97TM1
DMS 114	Lung	DMS114	DMS 114
NCI-H1373	Lung	NCIH1373	NCI-H1373
NCI-H2126	Lung	NCIH2126	NCI-H2126
NCI-H1993	Lung	NCIH1993	NCI-H1993
NCI-H1435	Lung	NCIH1435	NCI-H1435
NCI-H1568	Lung	NCIH1568	NCI-H1568
NCI-H1395	Lung	NCIH1395	NCI-H1395
NCI-H2170	Lung	NCIH2170	NCI-H2170
NCI-H2228	Lung	NCIH2228	NCI-H2228
HCC366	Lung	HCC366	HCC366
NCI-H1915	Lung	NCIH1915	NCI-H1915
NCI-H1581	Lung	NCIH1581	NCI-H1581
NCI-H1573	Lung	NCIH1573	NCI-H1573
NCI-H82	Lung	NCIH82	NCI-H82
NCI-H1155	Lung	NCIH1155	NCI-H1155
SCLC-21H	Lung	SCLC21H	SCLC-21H
NCI-H2444	Lung	NCIH2444	NCI-H2444
UMC-11	Lung	UMC11	UMC-11
NCI-H841	Lung	NCIH841	NCI-H841
NCI-H522	Lung	NCIH522	NCI-H522
NCI-H446	Lung	NCIH446	NCI-H446
NCI-H1648	Lung	NCIH1648	NCI-H1648
NCI-H2172	Lung	NCIH2172	NCI-H2172
NCI-H1563	Lung	NCIH1563	NCI-H1563
NCI-H1623	Lung	NCIH1623	NCI-H1623
NCI-H1869	Lung	NCIH1869	NCI-H1869
NCI-H2135	Lung	NCIH2135	NCI-H2135
NCI-H520	Lung	NCIH520	NCI-H520
ES-2	Ovary	ES2	ES-2
NCI-H2106	Lung	NCIH2106	NCI-H2106
SK-MES-1	Lung	SKMES1	SK-MES-1
MFM-223	Breast	MFM223	MFM-223
BT-474	Breast	BT474	BT-474
CI-1	Lymph Node	CI1	CI-1
NCI-H1666	Lung	NCIH1666	NCI-H1666
MDA-MB-453	Breast	MDAMB453	MDA-MB-453
NCI-H2171	Lung	NCIH2171	NCI-H2171
COLO 829	Skin	COLO829	COLO 829
MDA-MB-435	Skin	MDAMB435	MDA-MB-435
SW 48	Colon	SW48	SW 48
OUMS-23	Colon	OUMS23	OUMS-23
MeWo	Skin	MEWO	MeWo
COLO 201	Colon	COLO201	COLO 201
SK-OV-3	Ovary	SKOV3	SK-OV-3
C32	Skin	C32	C32
TOV-112D	Ovary	TOV112D	TOV-112D
HCC1187	Breast	HCC1187	HCC1187
U-2 OS	Bone	U2OS	U-2 OS
EFM-19	Breast	EFM19	EFM-19
HDQ-P1	Breast	HDQP1	HDQ-P1
CAL-148	Breast	CAL148	CAL-148
NCI-H1838	Lung	NCIH1838	NCI-H1838
VMRC-LCD	Lung	VMRCLCD	VMRC-LCD
NCI-H727	Lung	NCIH727	NCI-H727
CL-34	Colon	CL34	CL-34
SW 1463	Colon	SW1463	SW 1463
HeLa	Cervix	HELA	HeLa
A172	Brain	A172	A172
OVCAR-8	Ovary	OVCAR8	OVCAR-8
A2780	Ovary	A2780	A2780
KARPAS-1106P	Lymph Node	KARPAS1106P	KARPAS-1106P
OAW42	Ovary	OAW42	OAW42
OV56	Ovary	OV56	OV56
LS1034	Colon	LS1034	LS1034
SW 837	Colon	SW837	SW 837
DLD-1	Colon	DLD1	DLD-1
RKO	Colon	RKO	RKO
COLO 741	Colon	COLO741	COLO 741
C2BBe1	Colon	C2BBE1	C2BBe1
HPAC	Pancreas	HPAC	HPAC
GRANTA-519	Lymph Node	GRANTA519	GRANTA-519
HEL	Blood	HEL	HEL
A-431	Skin	A431	A-431
LS-180	Colon	LS180	LS-180
Hep G2	Liver	HEPG2	Hep G2
BxPC-3	Pancreas	BXPC3	BxPC-3
LNCAP clone FGC	Prostate	LNCAPCLONEFGC	LNCAP clone FGC
ML-2	Bone Marrow	ML2	ML-2
MIA Paca-2	Pancreas	MIAPACA2	MIA Paca-2
HT-29	Colon	HT29	HT-29
LoVo	Colon	LOVO	LoVo
COLO 205	Colon	COLO205	COLO 205
PANC-1	Pancreas	PANC1	PANC-1
PSN1	Pancreas	PSN1	PSN1
PC-3	Prostate	PC3	PC-3
SU.86.86	Pancreas	SU.86.86	SU.86.86
Capan-2	Pancreas	CAPAN2	Capan-2
Capan-1	Pancreas	CAPAN1	Capan-1
HPAF-II	Pancreas	HPAFII	HPAF-II
AsPC-1	Pancreas	ASPC1	AsPC-1
FaDu	Nasal Pharynx	FADU	FaDu
JHH-7	Liver	JHH7	JHH-7
NCI-H929	Bone Marrow	NCIH929	NCI-H929
Hs 766T	Pancreas	HS766T	Hs 766T
CAL 27	Tongue	CAL27	CAL 27
CL-11	Colon	CL11	CL-11
SW 620	Colon	SW620	SW 620
KM-12	Colon	KM12	KM-12
MHH-ES-1	Bone	MHHES1	MHH-ES-1
HUH-7	Liver	HUH7	HUH-7
LOX-IMVI	Skin	LOXIMVI	LOX-IMVI
HEY	Ovary	HEY	HEY
A-673	Skeletal Muscle	A673	A-673
EFO-27	Ovary	EFO27	EFO-27
IGROV-1	Ovary	IGROV1	IGROV-1
PE01	Ovary	PE01	PE01
SU-DHL-10	Pleura	SUDHL10	SU-DHL-10
Caki-2	Kidney	CAKI2	Caki-2
OVCA 420	Ovary	OVCA420	OVCA 420
TOV-21G	Ovary	TOV21G	TOV-21G
OV-90	Ovary	OV90	OV-90
NCI-H187	Lung	NCIH187	NCI-H187
NCI-H196	Lung	NCIH196	NCI-H196
SK-MEL-2	Skin	SKMEL2	SK-MEL-2
MEL-JUSO	Skin	MELJUSO	MEL-JUSO
SK-MEL-30	Skin	SKMEL30	SK-MEL-30
MOLM-16	Blood	MOLM16	MOLM-16
NCI-H716	Colon	NCIH716	NCI-H716
FU97	Stomach	FU97	FU97
RERF-GC-1B	Stomach	RERFGC1B	RERF-GC-1B
KATO III	Stomach	KATOIII	KATO III
PL-21	Blood	PL21	PL-21
COV362	Ovary	COV362	COV362
COV434	Ovary	COV434	COV434
SET-2	Blood	SET2	SET-2
TK-10	Kidney	TK10	TK-10
Hs 852.T	Skin	HS852.T	Hs 852.T
Caki-1	Kidney	CAKI1	Caki-1
SK-MEL-24	Skin	SKMEL24	SK-MEL-24
UM-UC-1	Urinary Bladder	UMUC1	UM-UC-1
MKN-45	Stomach	MKN45	MKN-45
TC-71	Bone	TC71	TC-71
SW 780	Urinary Bladder	SW780	SW 780
NCI-H146	Lung	NCIH146	NCI-H146
NCI-H889	Lung	NCIH889	NCI-H889
JHH-1	Liver	JHH1	JHH-1
JHH-2	Liver	JHH2	JHH-2
JHH-5	Liver	JHH5	JHH-5
Hep 3B2.1-7	Liver	HEP3B2.17	Hep 3B2.1-7
HT-55	Colon	HT55	HT-55
T84	Colon	T84	T84
NCI-H2110	Lung	NCIH2110	NCI-H2110
ACHN	Kidney	ACHN	ACHN
BFTC-909	Kidney	BFTC909	BFTC-909
C3A	Liver	C3A	C3A
CHP-212	Brain	CHP212	CHP-212
PA-1	Ovary	PA1	PA-1
SK-N-AS	Brain	SKNAS	SK-N-AS
NCI-N87	Stomach	NCIN87	NCI-N87
huH-1	Liver	HUH1	huH-1
HEC-1-A	Uterus	HEC1A	HEC-1-A
Ca Ski	Cervix	CASKI	Ca Ski
SiHa	Cervix	SIHA	SiHa
RL95-2	Uterus	RL952	RL95-2
JHH-4	Liver	JHH4	JHH-4
SNU-182	Liver	SNU182	SNU-182
KARPAS-620	Blood	KARPAS620	KARPAS-620
NALM-6	Blood	NALM6	NALM-6
G-402	Kidney	G402	G-402
CAL 54	Kidney	CAL54	CAL 54
Panc 03.27	Pancreas	PANC03.27	Panc 03.27
Panc 05.04	Pancreas	PANC05.04	Panc 05.04
KMS-11	Blood	KMS11	KMS-11
Panc 10.05	Pancreas	PANC10.05	Panc 10.05
K-562	Blood	K562	K-562
SNU-601	Stomach	SNU601	SNU-601
SNU-620	Stomach	SNU620	SNU-620
SNU-216	Stomach	SNU216	SNU-216
SW 948	Colon	SW948	SW 948
SNU-719	Stomach	SNU719	SNU-719
SNU-387	Liver	SNU387	SNU-387
SNU-398	Liver	SNU398	SNU-398
SNU-423	Liver	SNU423	SNU-423
SNU-449	Liver	SNU449	SNU-449
